top - 20:37:33 up  1:48,  4 users,  load average: 1,67, 0,76, 0,46
Tarefas:  97 total,   2 executando,  95 dormindo,   0 parado,   0 zumbi
%Cpu(s):  3,7 us,  0,9 sy,  0,0 ni, 92,5 id,  2,5 wa,  0,0 hi,  0,4 si,  0,0 st
KiB Mem:    242768 total,   238660 used,     4108 free,     1332 buffers
KiB Swap:   522236 total,   105008 used,   417228 free.     9432 cached Mem

  PID USUÁRIO  PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 3191 guilher+  20   0  719616  77608   2400 R  2,3 32,0   0:08.41 nodejs
 3206 guilher+  20   0   24896   2320   1956 R  2,3  1,0   0:00.01 top
    1 root      20   0   33632    168    168 S  0,0  0,1   0:02.12 init
    2 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0,0  0,0   0:01.08 ksoftirqd/0
    4 root      20   0       0      0      0 S  0,0  0,0   0:00.01 kworker/0:0
    5 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S  0,0  0,0   0:01.13 rcu_sched
    8 root      20   0       0      0      0 S  0,0  0,0   0:00.00 rcu_bh
    9 root      20   0       0      0      0 S  0,0  0,0   0:00.93 rcuos/0
   10 root      20   0       0      0      0 S  0,0  0,0   0:00.00 rcuob/0
   11 root      rt   0       0      0      0 S  0,0  0,0   0:00.00 migration/0
   12 root      rt   0       0      0      0 S  0,0  0,0   0:00.05 watchdog/0
   13 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 khelper
   14 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kdevtmpfs
   15 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 netns
   16 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 perf
   17 root      20   0       0      0      0 S  0,0  0,0   0:00.00 khungtaskd
   18 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 writeback
   19 root      25   5       0      0      0 S  0,0  0,0   0:00.00 ksmd
   20 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 crypto
   21 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kintegrityd
   22 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 bioset
   23 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kblockd
   24 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ata_sff
   25 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 md
   26 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 devfreq_wq
   30 root      20   0       0      0      0 S  0,0  0,0   0:01.65 kswapd0
   31 root      20   0       0      0      0 S  0,0  0,0   0:00.00 fsnotify_ma+
   32 root      20   0       0      0      0 S  0,0  0,0   0:00.00 ecryptfs-kt+
   43 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kthrotld
   44 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 acpi_therma+
   45 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_0
   46 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_0
   47 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_1
   48 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_1
   53 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ipv6_addrco+
   73 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 deferwq
   74 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 charger_man+
  121 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kpsmoused
  124 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_2
  125 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_2
  126 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_3
  127 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_3
  128 root       0 -20       0      0      0 S  0,0  0,0   0:00.11 kworker/0:1H
  138 root      20   0       0      0      0 S  0,0  0,0   0:00.32 jbd2/sda1-8
  139 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ext4-rsv-co+
  266 root      20   0   19480      0      0 S  0,0  0,0   0:00.25 upstart-ude+
  271 root      20   0   51652    156    156 S  0,0  0,1   0:00.06 systemd-ude+
  308 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 iprt-VBoxWQ+
  414 root      20   0   15540    140    140 S  0,0  0,1   0:00.25 upstart-soc+
  459 message+  20   0   39120      0      0 S  0,0  0,0   0:00.13 dbus-daemon
  509 root      20   0   15556    144    144 S  0,0  0,1   0:00.24 upstart-fil+
  517 root      20   0   43456    168    168 S  0,0  0,1   0:00.03 systemd-log+
  519 syslog    20   0  260080      0      0 S  0,0  0,0   0:00.04 rsyslogd
  613 root      20   0   10236      0      0 S  0,0  0,0   0:00.02 dhclient
  669 root      20   0  231344      8      0 S  0,0  0,0   0:00.06 winbindd
  699 root      20   0  237208     80      0 S  0,0  0,0   0:00.02 winbindd
  700 root      20   0  230932    556    484 S  0,0  0,2   0:00.01 winbindd
  708 root      20   0  231344      0      0 S  0,0  0,0   0:00.03 winbindd
  742 root      20   0  195732    176      0 S  0,0  0,1   0:07.56 nmbd
  881 root      20   0  248108    284    284 S  0,0  0,1   0:00.03 login
  888 root      20   0   15832    128    128 S  0,0  0,1   0:00.00 getty
  889 root      20   0  248104    284    284 S  0,0  0,1   0:00.03 login
  891 root      20   0   15832    128    128 S  0,0  0,1   0:00.00 getty
  917 daemon    20   0   19144      0      0 S  0,0  0,0   0:00.00 atd
  918 root      20   0   23660     60     60 S  0,0  0,0   0:00.02 cron
  923 root      20   0    4372      0      0 S  0,0  0,0   0:00.50 acpid
  954 bind      20   0  165232      0      0 S  0,0  0,0   0:00.04 named
  988 postgres  20   0  248060    156    140 S  0,0  0,1   0:00.07 postgres
 1006 postgres  20   0  248060      0      0 S  0,0  0,0   0:00.00 postgres
 1007 postgres  20   0  248060     56      0 S  0,0  0,0   0:00.12 postgres
 1008 postgres  20   0  248060      0      0 S  0,0  0,0   0:00.06 postgres
 1009 postgres  20   0  248884    208    192 S  0,0  0,1   0:00.08 postgres
 1010 postgres  20   0  103880    156    140 S  0,0  0,1   0:00.14 postgres
 1097 root      20   0  248104    280    280 S  0,0  0,1   0:00.05 login
 1125 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kauditd
 1172 guilher+  20   0   22600    136    136 S  0,0  0,1   0:00.10 bash
 1253 guilher+  20   0   52072    168    168 S  0,0  0,1   0:00.04 vim
 1304 guilher+  20   0   22596    136    136 S  0,0  0,1   0:00.11 bash
 1410 guilher+  20   0   52072    168    168 S  0,0  0,1   0:00.04 vim
 1457 guilher+  20   0   22684    144    144 S  0,0  0,1   0:01.29 bash
 1848 root      20   0  273104    268    240 S  0,0  0,1   0:00.09 smbd
 1850 root      20   0  273116    244    212 S  0,0  0,1   0:00.03 smbd
 1856 nobody    20   0  283260    848    480 S  0,0  0,3   0:01.80 smbd
 2430 root      20   0       0      0      0 S  0,0  0,0   0:00.92 kworker/0:2
 2436 root      20   0  248104    312    312 S  0,0  0,1   0:00.05 login
 2747 root      20   0       0      0      0 S  0,0  0,0   0:00.39 kworker/u2:0
 2914 root      20   0       0      0      0 S  0,0  0,0   0:04.19 kworker/u2:1
 3136 guilher+  20   0   22600    164    164 S  0,0  0,1   0:00.11 bash
 3167 root      20   0  234568    228    228 S  0,0  0,1   0:00.03 sudo
 3168 root      20   0 1287740  97192    156 D  0,0 40,0   0:16.51 npm
 3188 root      20   0       0      0      0 S  0,0  0,0   0:00.02 kworker/0:1
 3201 guilher+  20   0    4448    444    360 S  0,0  0,2   0:00.00 sh
 3202 guilher+  20   0  668596   8320   2700 S  0,0  3,4   0:00.10 nodejs
 3204 guilher+  20   0    4448    416    336 S  0,0  0,2   0:00.00 sh
 3205 guilher+  20   0   12416   1388   1224 S  0,0  0,6   0:00.00 show_top.sh
