top - 20:15:59 up  1:26,  4 users,  load average: 0,00, 0,01, 0,05
Tarefas:  94 total,   2 executando,  92 dormindo,   0 parado,   0 zumbi
%Cpu(s):  1,8 us,  0,6 sy,  0,0 ni, 96,0 id,  1,5 wa,  0,0 hi,  0,2 si,  0,0 st
KiB Mem:    242768 total,   199120 used,    43648 free,    22712 buffers
KiB Swap:   522236 total,    45196 used,   477040 free.    85216 cached Mem

  PID USUÁRIO  PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 2736 guilher+  20   0  677108  29928   8560 R 76,0 12,3   0:00.55 nodejs
    1 root      20   0   33632   2708   1484 S  0,0  1,1   0:02.00 init
    2 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0,0  0,0   0:00.58 ksoftirqd/0
    4 root      20   0       0      0      0 S  0,0  0,0   0:00.01 kworker/0:0
    5 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S  0,0  0,0   0:00.56 rcu_sched
    8 root      20   0       0      0      0 S  0,0  0,0   0:00.00 rcu_bh
    9 root      20   0       0      0      0 S  0,0  0,0   0:00.55 rcuos/0
   10 root      20   0       0      0      0 S  0,0  0,0   0:00.00 rcuob/0
   11 root      rt   0       0      0      0 S  0,0  0,0   0:00.00 migration/0
   12 root      rt   0       0      0      0 S  0,0  0,0   0:00.04 watchdog/0
   13 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 khelper
   14 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kdevtmpfs
   15 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 netns
   16 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 perf
   17 root      20   0       0      0      0 S  0,0  0,0   0:00.00 khungtaskd
   18 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 writeback
   19 root      25   5       0      0      0 S  0,0  0,0   0:00.00 ksmd
   20 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 crypto
   21 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kintegrityd
   22 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 bioset
   23 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kblockd
   24 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ata_sff
   25 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 md
   26 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 devfreq_wq
   30 root      20   0       0      0      0 S  0,0  0,0   0:00.43 kswapd0
   31 root      20   0       0      0      0 S  0,0  0,0   0:00.00 fsnotify_ma+
   32 root      20   0       0      0      0 S  0,0  0,0   0:00.00 ecryptfs-kt+
   43 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kthrotld
   44 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 acpi_therma+
   45 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_0
   46 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_0
   47 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_1
   48 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_1
   53 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ipv6_addrco+
   73 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 deferwq
   74 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 charger_man+
  121 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 kpsmoused
  124 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_2
  125 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_2
  126 root      20   0       0      0      0 S  0,0  0,0   0:00.00 scsi_eh_3
  127 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 scsi_tmf_3
  128 root       0 -20       0      0      0 S  0,0  0,0   0:00.08 kworker/0:1H
  138 root      20   0       0      0      0 S  0,0  0,0   0:00.18 jbd2/sda1-8
  139 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 ext4-rsv-co+
  266 root      20   0   19480    424    364 S  0,0  0,2   0:00.24 upstart-ude+
  271 root      20   0   51652    436    436 S  0,0  0,2   0:00.06 systemd-ude+
  308 root       0 -20       0      0      0 S  0,0  0,0   0:00.00 iprt-VBoxWQ+
  414 root      20   0   15540    320    320 S  0,0  0,1   0:00.23 upstart-soc+
  459 message+  20   0   39120    240    104 S  0,0  0,1   0:00.12 dbus-daemon
  509 root      20   0   15556     28      4 S  0,0  0,0   0:00.21 upstart-fil+
  517 root      20   0   43456   2004   1712 S  0,0  0,8   0:00.02 systemd-log+
  519 syslog    20   0  260080    400    280 S  0,0  0,2   0:00.02 rsyslogd
  613 root      20   0   10236   1736   1508 S  0,0  0,7   0:00.02 dhclient
  669 root      20   0  231344    644     92 S  0,0  0,3   0:00.04 winbindd
  699 root      20   0  237208   3244   2648 S  0,0  1,3   0:00.02 winbindd
  700 root      20   0  230932    796    216 S  0,0  0,3   0:00.01 winbindd
  708 root      20   0  231344   2152   1600 S  0,0  0,9   0:00.03 winbindd
  742 root      20   0  195732   2756   2044 S  0,0  1,1   0:06.19 nmbd
  881 root      20   0  248108    820    684 S  0,0  0,3   0:00.03 login
  888 root      20   0   15832    396    392 S  0,0  0,2   0:00.00 getty
  889 root      20   0  248104    824    684 S  0,0  0,3   0:00.03 login
  891 root      20   0   15832    412    408 S  0,0  0,2   0:00.00 getty
  917 daemon    20   0   19144      0      0 S  0,0  0,0   0:00.00 atd
  918 root      20   0   23660    388    292 S  0,0  0,2   0:00.00 cron
  923 root      20   0    4372    404    356 S  0,0  0,2   0:00.42 acpid
  954 bind      20   0  165232   2136   1472 S  0,0  0,9   0:00.04 named
  988 postgres  20   0  248060   5740   5548 S  0,0  2,4   0:00.06 postgres
 1006 postgres  20   0  248060     76      0 S  0,0  0,0   0:00.00 postgres
 1007 postgres  20   0  248060    700    568 S  0,0  0,3   0:00.12 postgres
 1008 postgres  20   0  248060     68      0 S  0,0  0,0   0:00.05 postgres
 1009 postgres  20   0  248884   2732   2416 S  0,0  1,1   0:00.08 postgres
 1010 postgres  20   0  103880    908    664 S  0,0  0,4   0:00.10 postgres
 1097 root      20   0  248104    660    656 S  0,0  0,3   0:00.05 login
 1125 root      20   0       0      0      0 S  0,0  0,0   0:00.00 kauditd
 1172 guilher+  20   0   22600    428    424 S  0,0  0,2   0:00.10 bash
 1253 guilher+  20   0   52072    660    512 S  0,0  0,3   0:00.04 vim
 1304 guilher+  20   0   22596    552    424 S  0,0  0,2   0:00.11 bash
 1410 guilher+  20   0   52072    628    500 S  0,0  0,3   0:00.04 vim
 1457 guilher+  20   0   22660   4096   2696 S  0,0  1,7   0:00.99 bash
 1848 root      20   0  273104   3352   2948 S  0,0  1,4   0:00.08 smbd
 1850 root      20   0  273116   2640   2272 S  0,0  1,1   0:00.02 smbd
 1856 nobody    20   0  282888   9820   7976 S  0,0  4,0   0:01.57 smbd
 2430 root      20   0       0      0      0 S  0,0  0,0   0:00.48 kworker/0:2
 2436 root      20   0   15832   2012   1856 S  0,0  0,8   0:00.00 getty
 2495 root      20   0       0      0      0 S  0,0  0,0   0:00.18 kworker/u2:0
 2604 root      20   0       0      0      0 S  0,0  0,0   0:00.17 kworker/u2:1
 2640 root      20   0       0      0      0 S  0,0  0,0   0:00.06 kworker/u2:2
 2740 guilher+  20   0    4448    676    596 S  0,0  0,3   0:00.00 sh
 2741 guilher+  20   0  668596  13236   7616 S  0,0  5,5   0:00.13 nodejs
 2743 guilher+  20   0    4448    680    596 S  0,0  0,3   0:00.00 sh
 2744 guilher+  20   0   12416   2712   2548 S  0,0  1,1   0:00.00 show_top.sh
 2745 guilher+  20   0   24896   3000   2636 R  0,0  1,2   0:00.00 top
